[  578.212942] motor_ctrl: Removing motor_ctrl module
[  581.318319] motor_ctrl: Inserting module...
[  581.428837] motor_ctrl: Inserting module successful.
[  601.448319]  Jitter 19987531 
[  601.448348]  Jitter 20013364 
[  601.448355]  Jitter 19980343 
[  601.448361]  Jitter 20021854 
[  601.448367]  Jitter 19991020 
[  601.448372]  Jitter 20008885 
[  601.448378]  Jitter 19989041 
[  601.448383]  Jitter 19995551 
[  601.448389]  Jitter 20004198 
[  601.448394]  Jitter 19994822 
[  601.448402]  Jitter 19991229 
[  601.448407]  Jitter 19997530 
[  601.448413]  Jitter 20000239 
[  601.448419]  Jitter 19999823 
[  601.448424]  Jitter 20001437 
[  601.448430]  Jitter 20001332 
[  601.448435]  Jitter 19998521 
[  601.448441]  Jitter 19999457 
[  601.448446]  Jitter 19999562 
[  601.448451]  Jitter 20004250 
[  601.448457]  Jitter 19996801 
[  601.448462]  Jitter 19997323 
[  601.448468]  Jitter 20006697 
[  601.448473]  Jitter 19997374 
[  601.448479]  Jitter 19997738 
[  601.448484]  Jitter 19999874 
[  601.448490]  Jitter 20002582 
[  601.448496]  Jitter 19995812 
[  601.448501]  Jitter 20002895 
[  601.448507]  Jitter 19997217 
[  601.448513]  Jitter 20002634 
[  601.448518]  Jitter 20002791 
[  601.448524]  Jitter 19995603 
[  601.448530]  Jitter 19999822 
[  601.448535]  Jitter 20003520 
[  601.448541]  Jitter 20004196 
[  601.448547]  Jitter 19998885 
[  601.448553]  Jitter 19993519 
[  601.448558]  Jitter 20003520 
[  601.448564]  Jitter 19999561 
[  601.448569]  Jitter 20001645 
[  601.448575]  Jitter 19995968 
[  601.448580]  Jitter 20003936 
[  601.448586]  Jitter 19999770 
[  601.448591]  Jitter 19999874 
[  601.448597]  Jitter 19996384 
[  601.448603]  Jitter 20004249 
[  601.448608]  Jitter 19999717 
[  601.448614]  Jitter 20000135 
[  601.448619]  Jitter 19996019 
[  601.448624]  Jitter 20004041 
[  601.448630]  Jitter 19999822 
[  601.448635]  Jitter 19996019 
[  601.448641]  Jitter 19999978 
[  601.448647]  Jitter 20004041 
[  601.448652]  Jitter 20000134 
[  601.448658]  Jitter 19999614 
[  601.448664]  Jitter 19996280 
[  601.448670]  Jitter 20003884 
[  601.448675]  Jitter 19999666 
[  601.448681]  Jitter 19999301 
[  601.448687]  Jitter 19997113 
[  601.448692]  Jitter 20006697 
[  601.448698]  Jitter 20001905 
[  601.448703]  Jitter 19995447 
[  601.448709]  Jitter 19995967 
[  601.448715]  Jitter 20003833 
[  601.448720]  Jitter 19999926 
[  601.448726]  Jitter 19999769 
[  601.448731]  Jitter 19996541 
[  601.448737]  Jitter 20003936 
[  601.448742]  Jitter 19999874 
[  601.448749]  Jitter 20004457 
[  601.448754]  Jitter 19991697 
[  601.448760]  Jitter 20003987 
[  601.448765]  Jitter 19999509 
[  601.448771]  Jitter 20000030 
[  601.448777]  Jitter 19996435 
[  601.448783]  Jitter 20004926 
[  601.448788]  Jitter 19998727 
[  601.448794]  Jitter 19999926 
[  601.448799]  Jitter 19996436 
[  601.448805]  Jitter 20004092 
